company,growth_score,mentions,latest_article,earliest_article
Applied Materials,1.9113619614955075,1,2025-06-17,2025-06-17
eBay,1.7608810823993226,1,2025-06-17,2025-06-17
Seagen,1.0001775762576144,1,2025-06-17,2025-06-17
Vertex Pharmaceuticals,0.884679116030125,1,2025-06-17,2025-06-17
Booking Holdings,0.8388227803928251,2,2025-06-17,2025-06-16
Microchip Technology,0.8301052715785018,1,2025-06-17,2025-06-17
Rivian,0.5959498526960877,1,2025-06-16,2025-06-16
Texas Instruments,0.555578744398032,2,2025-06-16,2025-06-16
Cognizant,0.5434004564035687,3,2025-06-17,2025-06-16
CSX Corporation,0.5006634212655185,1,2025-06-16,2025-06-16
ADP,0.47635248668182084,1,2025-06-17,2025-06-17
Biogen,0.4287042506621103,1,2025-06-16,2025-06-16
Analog Devices,0.3777032358592346,67,2025-06-17,2025-06-01
Activision Blizzard,0.3688382121451046,1,2025-06-17,2025-06-17
Microsoft,0.368114375352269,2,2025-06-17,2025-06-16
Airbnb,0.34668888150887106,1,2025-06-16,2025-06-16
Advanced Micro Devices Inc.,0.2839130629188816,1,2025-06-16,2025-06-16
Nvidia,0.26351318620259023,2,2025-06-16,2025-06-16
Amgen,0.23180014429044454,1,2025-06-15,2025-06-15
Baker Hughes,0.23135841737617957,1,2025-06-16,2025-06-16
Align Technology,0.22083537534232162,2,2025-06-16,2025-06-16
Intel,0.21050682984639615,1,2025-06-16,2025-06-16
Cintas,0.21047736095308833,1,2025-06-16,2025-06-16
KLA Corporation,0.20974032156671485,2,2025-06-16,2025-06-16
Apple Inc.,0.20912416921394164,2,2025-06-16,2025-06-16
Synopsys,0.1939573129326635,1,2025-06-16,2025-06-16
Adobe Inc.,0.19040053786281314,2,2025-06-16,2025-06-16
Marriott International,0.1037369220278825,1,2025-06-16,2025-06-16
Meta Platforms,-0.10543800672268856,2,2025-06-16,2025-06-16
Moderna,-0.20817896083774667,1,2025-06-16,2025-06-16
PayPal,-0.20874597840553236,1,2025-06-16,2025-06-16
Fastenal,-0.21045000067462105,1,2025-06-16,2025-06-16
