company,weighted_sentiment_sum,article_count,normalized_sentiment
AAPL,0.010210049331221532,14,0.0007292892379443951
AMD,-0.3328775569524251,1,-0.3328775569524251
AMZN,0.020986100463679325,2,0.010493050231839662
Fiserv,0.0,1,0.0
GOOGL,0.0011132856901731245,6,0.0001855476150288541
Intuitive Surgical,0.0,1,0.0
META,-2.7897185431351197e-06,1,-2.7897185431351197e-06
MSFT,0.04743424311413195,39,0.0012162626439521011
Microsoft,0.4437107254679672,2,0.2218553627339836
NVDA,0.0,1,0.0
PepsiCo,0.044667954191603985,1,0.044667954191603985
TSLA,-0.5232107344504046,1,-0.5232107344504046
